Ticker,1y_return,3y_return,7y_return,1y_volatility,1y_sharpe,3y_volatility,3y_sharpe,7y_volatility,7y_sharpe
ACEIX,11.77,4.31,6.91,9.89,0.78,13.08,0.04,13.94,0.3
PWTYX,14.35,3.75,8.46,9.17,1.12,13.8,-0.0,13.33,0.43
OGIAX,9.17,2.56,6.07,7.27,0.7,11.28,-0.11,10.38,0.33
PRWCX,12.76,5.66,10.95,6.94,1.25,12.54,0.15,12.0,0.69
MDCPX,12.6,3.48,8.27,7.36,1.15,12.99,-0.02,12.22,0.46
SWOBX,12.81,2.68,7.3,7.6,1.15,13.16,-0.08,11.94,0.39
PGMAX,11.15,0.87,4.99,6.97,1.01,12.53,-0.23,11.88,0.19
OAKBX,8.7,3.57,7.0,9.49,0.48,14.71,-0.01,14.76,0.29
VGSTX,9.28,1.61,7.1,8.12,0.64,14.19,-0.15,12.87,0.34
GOIAX,11.19,2.57,5.66,7.4,0.96,12.13,-0.1,11.71,0.25
MXGPX,7.41,1.83,5.25,7.48,0.44,11.54,-0.17,11.1,0.23
MBAAX,7.62,0.58,4.35,8.0,0.44,13.79,-0.23,12.57,0.13
FSATX,9.12,1.25,5.81,7.62,0.66,12.67,-0.2,11.96,0.26
